Product ID,Product Name,Product Category,Date of Release,Date of Purchase,User Name,Age,Sex,Location,Review
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,llyyue,18,M,,I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.
AVqVGZNvQMlgsOJE7eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,Charmi,40,F,,This kindle is light and easy to use especially at the beach!!!
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,johnnyjojojo,39,F,,"Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark"
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,Kdperry,55,M,,"I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last."
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,Johnnyblack,30,F,,Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads. battery is good but higher model is a bit better.
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,rmwarriors,56,M,,This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,LexieCrews,70,M,,"I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com."
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,merry,16,M,,I bought my Kindle about 2 months ago and the battery is already dead and will not charge
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,STEF,46,F,,"amazon kindle is always the best ebook, upgrade every new model"
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,AEBY,39,F,,"It's beyond my expectation, and it can even show music score. Not fast turning though."
